XLSMiesiac;Zwolennicy;Przeciwnicy;Obojetni;Premier
I 2017;39;32;26;Beata Szyd�o
II 2017;37;33;26;Beata Szyd�o
III 2017;36;33;28;Beata Szyd�o
IV 2017;38;35;25;Beata Szyd�o
V 2017;39;34;25;Beata Szyd�o
VI 2017;42;30;26;Beata Szyd�o
VII 2017;38;31;28;Beata Szyd�o
VIII 2017;41;34;24;Beata Szyd�o
IX 2017;43;30;24;Beata Szyd�o
X 2017;44;27;26;Beata Szyd�o
XI 2017;40;31;27;Beata Szyd�o
XII 2017;39;30;29;Beata Szyd�o
I 2018;42;14;33;Mateusz Morawiecki
II 2018;40;17;34;Mateusz Morawiecki
III 2018;41;19;33;Mateusz Morawiecki
IV 2018;42;19;33;Mateusz Morawiecki
V 2018;38;21;35;Mateusz Morawiecki
VI 2018;38;24;33;Mateusz Morawiecki
VII 2018;38;23;32;Mateusz Morawiecki
VIII 2018;40;23;32;Mateusz Morawiecki
IX 2018;41;22;32;Mateusz Morawiecki
X 2018;39;29;27;Mateusz Morawiecki
XI 2018;42;24;29;Mateusz Morawiecki
XII 2018;34;27;34;Mateusz Morawiecki
I 2019;38;27;31;Mateusz Morawiecki
II 2019;35;29;31;Mateusz Morawiecki
III 2019;40;25;29;Mateusz Morawiecki
IV 2019;39;28;30;Mateusz Morawiecki
V 2019;39;28;28;Mateusz Morawiecki
VI 2019;41;26;29;Mateusz Morawiecki
VII 2019;40;26;29;Mateusz Morawiecki
VIII 2019;42;27;27;Mateusz Morawiecki
IX 2019;44;29;23;Mateusz Morawiecki
X 2019;41;29;25;Mateusz Morawiecki
XI 2019;43;26;28;Mateusz Morawiecki
XII 2019;42;29;25;Mateusz Morawiecki
I 2020;41;29;26;Mateusz Morawiecki
II 2020;41;28;27;Mateusz Morawiecki
III 2020;42;27;28;Mateusz Morawiecki
V/VI 2020;44;32;20;Mateusz Morawiecki
VI 2020;41;33;22;Mateusz Morawiecki
VII 2020;40;34;23;Mateusz Morawiecki
VIII 2020;41;31;24;Mateusz Morawiecki
IX 2020;39;35;22;Mateusz Morawiecki
X 2020;38;34;25;Mateusz Morawiecki
X/2 2020;33;43;20;Mateusz Morawiecki
XI 2020;30;45;22;Mateusz Morawiecki
